YEAR,QUARTER,MONTH,WEEK,DAY,DAY_OF_WEEK,IS_WEEKEND,SEASON,HOUR,TIME_OF_DAY,PART,CRIME_TYPE,CRIME_CATEGORY,SEVERITY,ARREST,QUALITY_OF_LIFE,ADDRESS,LAT,LON,DATEEND
2023,3,8,34,26,Saturday,True,Summer,5.0,Night (0-5),Part1,MV THEFT,Property,2,False,False,0 STONE CT,43.045843,-76.161509,2023-08-26
2023,3,8,33,16,Wednesday,False,Summer,20.0,Evening (18-23),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-16
2023,3,8,34,22,Tuesday,False,Summer,20.0,Evening (18-23),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-22
2023,2,4,16,23,Sunday,True,Spring,20.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-23
2023,2,4,15,12,Wednesday,False,Spring,16.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-12
2023,2,4,17,24,Monday,False,Spring,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-24
2023,2,5,18,4,Thursday,False,Spring,12.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-05-04
2023,2,4,15,14,Friday,False,Spring,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-14
2023,2,4,16,21,Friday,False,Spring,21.0,Evening (18-23),Part1,BURGLARY,Property,3,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-21
2023,2,5,18,5,Friday,False,Spring,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-05-05
2023,4,11,45,6,Monday,False,Fall,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-06
2023,2,5,18,5,Friday,False,Spring,12.0,Afternoon (12-17),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-05-05
2023,2,4,17,25,Tuesday,False,Spring,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-25
2023,4,11,48,29,Wednesday,False,Fall,13.0,Afternoon (12-17),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-29
2023,2,5,18,1,Monday,False,Spring,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-05-01
2023,3,8,33,19,Saturday,True,Summer,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-19
2023,2,4,16,20,Thursday,False,Spring,10.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-20
2023,4,12,48,2,Saturday,True,Winter,16.0,Afternoon (12-17),Part1,BURGLARY,Property,3,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-12-02
2023,2,4,17,28,Friday,False,Spring,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-28
2023,3,8,34,22,Tuesday,False,Summer,13.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-22
2023,2,4,16,21,Friday,False,Spring,12.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-21
2023,2,4,16,19,Wednesday,False,Spring,11.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-19
2023,3,8,34,24,Thursday,False,Summer,19.0,Evening (18-23),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-24
2023,4,12,48,2,Saturday,True,Winter,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-12-02
2023,4,11,44,5,Sunday,True,Fall,3.0,Night (0-5),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-05
2023,2,4,16,20,Thursday,False,Spring,15.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-20
2023,2,5,18,2,Tuesday,False,Spring,14.0,Afternoon (12-17),Part1,BURGLARY,Property,3,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-05-02
2023,3,8,33,19,Saturday,True,Summer,17.0,Afternoon (12-17),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-19
2023,2,5,18,2,Tuesday,False,Spring,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-05-02
2023,4,11,48,30,Thursday,False,Fall,21.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-30
2023,3,8,33,20,Sunday,True,Summer,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-20
2023,2,4,17,27,Thursday,False,Spring,11.0,Morning (6-11),Part1,BURGLARY,Property,3,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-27
2023,3,8,31,4,Friday,False,Summer,13.0,Afternoon (12-17),Part1,BURGLARY,Property,3,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-04
2023,2,6,25,19,Monday,False,Summer,16.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-19
2023,4,11,47,21,Tuesday,False,Fall,16.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-21
2023,3,7,30,24,Monday,False,Summer,2.0,Night (0-5),Part1,BURGLARY,Property,3,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-07-24
2023,2,6,24,17,Saturday,True,Summer,19.0,Evening (18-23),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-17
2023,3,7,29,23,Sunday,True,Summer,22.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-07-23
2023,2,6,24,17,Saturday,True,Summer,17.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-17
2023,2,6,24,15,Thursday,False,Summer,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-15
2023,4,11,47,20,Monday,False,Fall,17.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-20
2023,4,11,46,14,Tuesday,False,Fall,12.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-14
2023,3,7,29,22,Saturday,True,Summer,11.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-07-22
2023,2,6,25,21,Wednesday,False,Summer,13.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-21
2023,3,7,30,26,Wednesday,False,Summer,19.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-07-26
2023,4,11,47,22,Wednesday,False,Fall,18.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-22
2023,4,12,50,16,Saturday,True,Winter,18.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 CULBERT ST,43.070333,-76.151162,2023-12-16
2023,3,8,34,26,Saturday,True,Summer,1.0,Night (0-5),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,0 STONE CT,43.045843,-76.161509,2023-08-26
2023,1,2,5,4,Saturday,True,Winter,21.0,Evening (18-23),Part1,MV THEFT,Property,2,False,False,100 CULBERT ST,43.070333,-76.151162,2023-02-04
2023,1,2,8,26,Sunday,True,Winter,15.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,True,False,100 CULBERT ST,43.070333,-76.151162,2023-02-26
2023,4,12,49,6,Wednesday,False,Winter,21.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 CUMMINGS AV,43.066707,-76.160959,2023-12-06
2023,2,5,21,28,Sunday,True,Spring,17.0,Afternoon (12-17),Part1,BURGLARY,Property,3,False,False,100 CUMBERLAND AV,43.045001,-76.113467,2023-05-28
